"","code","Atrisk","Une","Chronic","Density","Circulatory","Educational","GDP","Personnel","Beds","Influenza","Lifeexp","Longterm","Malignant","Pneumonia","Respiratory","Over.75","Obesity","Over.60","Males","Diabetes","Pop","Over75rate","Over60rate","Malesrate","PM","deaths","rate","lon","lat","cluster"
"73","FRG0",11.3,7.5,16.08,118.3,227.85,23.4,28800,289.2221577,513.3336854,1.72,83.3,35.8821355,44.4,17.51,58.4,371414,11.8,1022802,1850573,13.54,3787400,9.80656915,27.00538628,48.86130327,8.613359537,2829,746.950414532397,-0.81452264,47.47843903,7
"74","FRH0",11,6.9,23.35,122.4,269.13,22.9,27300,322.4925909,612.0490023,2.19,82.2,38.75550436,51.98,22.87,78.35,350225,12,969898,1625610,12.52,3333720,10.50553136,29.09356515,48.76264353,6.598820101,1759,527.638793899908,-2.84069265,48.17821154,7
"75","FRI1",14,9.1,17.25,83.9,258.03,20.9,28300,360.4590665,624.3106974,1.4,83.3,41.12989831,56.8,23.11,67.03,372729,15.8,1012301,1660209,15.68,3450045,10.80359821,29.34167525,48.12137233,7.425548489,2395,694.193843848414,-0.226685,44.35357622,8
"76","FRI2",15.9,7,24.39,42.9,333.93,18.7,24500,337.8170117,822.6241505,2.62,82.5,152.6067117,56.23,23.35,82.97,94420,17.8,247097,349921,20.28,729981,12.93458323,33.84978513,47.9356312,7.216369099,669,916.462209290379,1.71447391,45.77369454,8
"77","FRI3",13.7,8.1,18.66,70,280.26,20.3,25600,298.0691937,560.6513233,2.05,82.7,68.48283666,58.76,20.41,70.37,217288,13.8,582693,874523,14.78,1806292,12.02950575,32.25906996,48.41537249,8.607133758,1129,625.03736937328,-0.07993721,46.16290759,8
"78","FRJ1",19.6,10.4,18.66,104.4,246.88,22.1,23600,363.6887515,668.9759581,1.69,82.7,51.28627817,58.54,23.09,68.99,310666,15.6,853974,1364772,15.82,2838966,10.94292781,30.08045887,48.07285469,6.59115848,2824,994.728362368552,3.22622065,43.59345098,8
"79","FRJ2",15.3,6.8,18.95,67.8,245.03,21.7,29300,345.8222109,623.675963,1.19,83.7,31.04328643,49.19,20.43,66.79,325725,11.6,865053,1495194,13.78,3060243,10.6437626,28.26746111,48.85866907,6.689672387,2359,770.853817817735,1.48766721,43.76844087,8
"80","FRK1",13.8,5.5,19.79,52.6,295.76,20.7,24300,313.8173577,731.4821338,1.86,82.5,108.2508425,53.47,24.97,74.29,158232,14.4,427338,664092,17.26,1362576,11.61271004,31.36250749,48.73797865,7.478254655,1840,1350.38339145853,3.17722873,45.65562282,8
"81","FRK2",12.6,7,14.86,150.9,187.51,23.8,32200,345.3250535,573.5848988,2.21,84.1,15.32369576,42.3,16.35,51.49,598644,12.5,1644871,3239912,15.45,6643306,9.011236273,24.75982591,48.76957346,9.716415555,10618,1598.30060515051,5.34145987,45.43663562,8
"82","FRL0",17.1,8.8,18.11,162.4,229.63,21.9,29500,406.9007934,698.6761165,2.33,83.3,19.19418113,54.13,22.66,70.01,570045,11.7,1487379,2420650,14.09,5048405,11.29158615,29.46235494,47.94880759,7.830605771,8816,1746.29412656077,6.05669038,43.95588153,8
"83","FRM0",20.1,6.4,15.58,39.6,244.64,16.8,25900,304.4906516,603.1257136,1.11,84.3,165.420402,61.09,17.63,57.75,38837,21,102625,166419,15.89,341554,11.37067638,30.04649338,48.72406706,6.614852798,236,690.959555443649,9.10582505,42.15252798,10
"84","ITC1",14.2,7.7,46.76,172.3,423.04,16.4,31900,366.5177213,350.380566,1.25,83,17.49148266,62.58,32.49,105.73,587912,9.72,1401516,2115079,22.78,4356406,13.49534456,32.17138164,48.55100741,15.97278346,11618,2666.87723779648,7.92359422,45.06022944,10
"85","ITC2",12,6.5,48.86,38.6,361.75,15.4,39500,355.7048048,362.8666465,1.58,82.3,87.53362087,48.08,29.95,111.13,15442,10.68,38173,61423,19.33,125666,12.28812885,30.37655372,48.87797813,12.06292021,474,3771.90329922175,7.38912857,45.72975914,6
"86","ITC3",14,9.6,57.82,284.3,494.34,15,32600,451.7489553,337.9894753,1.72,83.1,32.43821906,70.78,32.39,120.3,244463,9.29,546941,741760,24,1550640,15.76529691,35.27195223,47.83573234,14.59083663,4341,2799.48924315121,8.70423247,44.26466522,10
"87","ITC4",11.1,5.6,36.72,435.8,324.5,17.3,39200,367.7921359,351.7990127,1.21,84,6.888274963,58,25.22,82.37,1175116,10.52,2887766,4924451,19.36,10060574,11.6804071,28.70378966,48.94801231,21.87974873,32359,3216.41687641282,9.76907458,45.62048257,10
"88","ITF1",18.7,11.2,49.54,120.5,460.96,19.4,26200,428.33834,305.2806539,0.98,83.6,14.71507647,46.36,18.6,90.53,161420,11.99,399636,640136,28.51,1311580,12.30729349,30.46981503,48.80647768,8.799440263,2536,1933.54579972247,13.85559429,42.22756206,12
"89","ITF2",23.5,12.2,46.38,68.2,522.15,16.9,21400,411.6263166,336.6959299,1.29,83.3,20.28682959,39.94,16.11,89.23,39315,12.79,96303,150580,28.78,305617,12.86414041,31.51100888,49.27081936,8.156412674,495,1619.67429822294,14.59577084,41.68487717,12
"90","ITF3",41.4,20,45.25,422.2,383.04,21.9,18800,383.7673561,258.6831566,0.7,81.9,0.861817553,55.86,7.71,70.7,508765,11.08,1448242,2828490,53.02,5801692,8.769252142,24.96240752,48.75284658,7.628401406,7884,1358.91391683667,14.84010027,40.85972111,9
"91","ITF4",26.8,14.9,50.3,206.8,361.38,19.3,19300,375.0260917,285.1290365,0.39,83.6,5.261782359,44.56,11.61,82.46,435132,13.46,1146045,1959903,36.73,4029053,10.79985793,28.4445253,48.64425958,6.900878686,6755,1676.57263381743,16.6190572,40.9852497,9
"92","ITF5",30.1,10.8,61.89,55.7,446.73,17,22600,352.1245618,298.648531,0.7,83.1,17.2331395,41.2,12.27,99.94,66822,12.12,167749,276697,37.25,562869,11.87167885,29.80249401,49.15832991,5.658815452,611,1085.51012757853,16.08206608,40.49957404,9
